Influential 2-amod
also 3-advmod
negotiated 0-ROOT
an 5-det
arrangement 3-dobj
with 5-prep
Cable 9-compound
News 9-compound
Network 6-pobj
under 14-prep
which 10-pobj
CNN 14-nsubj
would 14-aux
agree 5-relcl
to 16-aux
air 14-xcomp
its 21-poss
last 20-amod
- 20-punct
minute 21-compound
creations 16-dobj
. 3-punct

 22-dep

The 4-det
new 4-amod
PaineWebber 4-compound
commercial 15-nsubj
, 4-punct
created 4-acl
with 6-prep
ad 9-compound
agency 7-pobj
Saatchi 9-appos
& 10-cc
Saatchi 13-compound
Co. 10-conj
, 15-punct
features 0-ROOT
Mary 17-compound
Farrell 15-dobj
, 17-punct
one 17-appos
of 19-prep
the 22-det
firm 27-poss
's 22-case
most 25-advmod
visible 27-amod
investment 27-compound
strategists 20-pobj
, 15-punct
sounding 15-advcl
particularly 31-advmod
bullish 29-acomp
. 15-punct

 32-dep

Taped 10-advcl
just 6-advmod
as 6-mark
the 5-det
market 6-nsubj
closed 1-advcl
yesterday 6-npadvmod
, 10-punct
it 10-nsubj
offers 0-ROOT
Ms. 12-compound
Farrell 10-dobj
advising 10-advcl
, 13-punct
` 13-punct
` 13-punct
We 18-nsubj
view 13-ccomp
the 20-det
market 18-dobj
here 18-advmod
as 18-prep
going 22-pcomp
through 23-prep
a 28-det
relatively 27-advmod
normal 28-amod
cycle 24-pobj
... 10-punct
. 10-punct

 30-dep

We 2-nsubj
continue 0-ROOT
to 4-aux
feel 2-xcomp
that 9-mark
the 8-det
stock 8-compound
market 9-nsubj
is 4-ccomp
still 9-advmod
the 12-det
place 9-attr
to 14-aux
be 12-relcl
for 14-prep
long 18-amod
- 18-punct
term 19-compound
appreciation 15-pobj
. 2-punct

'' 0-ROOT

 1-dep

The 2-det
spot 4-nsubjpass
was 4-auxpass
scheduled 0-ROOT
to 6-aux
appear 4-xcomp
three 8-nummod
times 6-npadvmod
on 6-prep
CNN 9-pobj
last 12-amod
night 6-npadvmod
. 4-punct

 13-dep

PaineWebber 2-nsubj
considered 0-ROOT
an 6-det
even 5-advmod
harder 6-amod
sell 2-dobj
, 2-punct
recommending 2-advcl
specific 10-amod
stocks 8-dobj
. 2-punct

 11-dep

Instead 4-advmod
, 4-punct
it 4-nsubj
settled 0-ROOT
on 4-prt
just 7-advmod
urging 5-pcomp
the 9-det
clients 7-dobj
who 11-nsubj
are 9-relcl
its 13-poss
lifeline 11-attr
to 15-aux
keep 7-xcomp
that 17-det
money 15-dobj
in 15-prep
the 20-det
market 18-pobj
. 4-punct

 21-dep

` 5-punct
` 5-punct
We 5-nsubj
're 5-aux
saying 33-ccomp
the 8-det
worst 8-amod
thing 13-nsubj
that 12-dobj
anyone 12-nsubj
can 12-aux
do 8-relcl
is 5-ccomp
to 15-aux
see 13-xcomp
the 17-det
market 18-nsubj
go 15-ccomp
down 18-prt
and 18-cc
dump 18-conj
everything 21-dobj
, 22-punct
which 26-nsubj
just 26-advmod
drives 22-relcl
the 28-det
prices 26-dobj
down 26-prt
further 26-advmod
, 33-punct
'' 33-punct
says 0-ROOT
John 35-compound
Lampe 33-nsubj
, 35-punct
PaineWebber 39-poss
's 37-case
director 35-appos
of 39-prep
advertising 40-pobj
. 33-punct

 42-dep

` 17-punct
` 17-punct
If 5-mark
you 5-nsubj
owned 17-advcl
it 5-dobj
and 5-cc
liked 5-conj
it 8-dobj
Friday 8-npadvmod
, 17-punct
the 14-det
true 14-amod
value 17-nsubj
has 17-aux
n't 17-neg
changed 0-ROOT
. 17-punct
'' 17-punct

 19-dep

He 2-nsubj
adds 0-ROOT
, 2-punct
` 2-punct
` 2-punct
This 7-nsubj
is 2-ccomp
n't 7-neg
1987 7-attr
revisited 7-acomp
. 2-punct
'' 2-punct

 12-dep

With 17-prep
the 4-det
market 4-compound
fluctuating 1-pobj
and 1-cc
then 7-advmod
closing 1-conj
up 7-prt
more 11-amod
than 11-quantmod
88 12-nummod
points 7-dobj
yesterday 7-npadvmod
, 17-punct
investment 16-compound
firms 17-nsubj
had 0-ROOT
to 20-aux
constantly 20-advmod
revise 17-xcomp
their 22-poss
approach 20-dobj
. 17-punct

 23-dep

At 6-prep
Shearson 3-compound
Lehman 1-pobj
, 6-punct
executives 6-nsubj
created 0-ROOT
potential 9-amod
new 9-amod
commercials 6-dobj
Friday 11-compound
night 6-npadvmod
and 6-cc
throughout 18-prep
the 15-det
weekend 13-pobj
, 18-punct
then 18-advmod
had 6-conj
to 20-aux
regroup 18-xcomp
yesterday 22-compound
afternoon 20-npadvmod
. 18-punct

 23-dep

The 2-det
plan 4-nsubj
had 4-aux
been 0-ROOT
to 6-aux
make 4-xcomp
one 6-dobj
of 7-prep
Shearson 8-pobj
's 9-case
easy 9-advmod
- 11-punct
to 11-prep
- 13-punct
film 13-pobj
, 11-punct
black 11-conj
- 17-punct
and 17-cc
- 21-punct
white 17-conj
` 9-punct
` 9-punct
Where 26-advmod
We 26-nsubj
Stand 9-relcl
'' 28-punct
commercials 26-dobj
, 9-punct
which 33-nsubj
have 33-aux
been 33-aux
running 9-relcl
occasionally 33-advmod
in 33-prep
response 35-pobj
to 36-prep
news 39-compound
events 37-pobj
since 36-prep
1985 40-pobj
. 4-punct

 42-dep

The 2-det
ad 5-nsubj
would 5-aux
have 5-aux
run 0-ROOT
during 5-prep
the 9-det
World 9-compound
Series 6-pobj
tomorrow 5-npadvmod
, 5-punct
replacing 5-advcl
the 15-det
debut 15-compound
commercial 12-dobj
of 15-prep
Shearson 21-poss
's 17-case
new 21-amod
ad 21-compound
campaign 16-pobj
, 12-punct
` 12-punct
` 12-punct
Leadership 12-dobj
by 25-prep
Example 26-pobj
. 5-punct

'' 0-ROOT

 1-dep

But 13-cc
in 13-prep
a 4-det
meeting 2-pobj
after 8-mark
the 7-det
market 8-nsubj
closed 2-advcl
yesterday 8-npadvmod
, 13-punct
Shearson 12-compound
executives 13-nsubj
decided 0-ROOT
not 16-neg
to 16-aux
go 13-xcomp
ahead 16-advmod
with 16-prep
the 23-det
stock 22-compound
- 22-punct
market 23-compound
ad 18-pobj
. 13-punct

 24-dep

` 6-punct
` 6-punct
We 6-nsubj
do 6-aux
n't 6-neg
think 0-ROOT
at 6-prep
this 9-det
point 7-pobj
anything 11-nsubj
needs 6-ccomp
to 14-aux
be 14-auxpass
said 11-xcomp
. 6-punct

 15-dep

The 2-det
market 3-nsubj
seems 11-ccomp
to 6-aux
be 6-aux
straightening 3-xcomp
out 6-prt
; 11-punct
we 11-nsubj
're 11-aux
taking 21-ccomp
a 18-det
wait 18-nmod
- 13-punct
and 13-cc
- 17-punct
see 13-conj
attitude 11-dobj
, 21-punct
'' 21-punct
says 0-ROOT
Cathleen 24-compound
B. 24-compound
Stewart 21-nsubj
, 24-punct
executive 28-amod
vice 28-compound
president 24-appos
of 28-prep
marketing 29-pobj
. 21-punct

 31-dep

In 10-prep
any 3-det
case 1-pobj
, 10-punct
the 7-det
brokerage 7-compound
firms 10-nsubj
are 10-aux
clearly 10-advmod
moving 0-ROOT
faster 10-advmod
to 13-aux
create 10-advcl
new 15-amod
ads 13-dobj
than 18-mark
they 18-nsubj
did 10-advcl
in 18-prep
the 21-det
fall 19-pobj
of 21-prep
1987 22-pobj
. 10-punct

 24-dep

But 3-cc
it 3-nsubj
remains 0-ROOT
to 6-aux
be 6-auxpass
seen 3-xcomp
whether 11-mark
their 9-poss
ads 11-nsubj
will 11-aux
be 6-ccomp
any 13-advmod
more 14-advmod
effective 11-acomp
. 3-punct

 15-dep

In 18-prep
1987 1-pobj
, 18-punct
despite 18-prep
a 6-det
barrage 4-pobj
of 6-prep
ads 7-pobj
from 6-prep
most 9-pobj
of 10-prep
the 15-det
major 15-amod
investment 15-compound
firms 11-pobj
, 18-punct
individuals 18-nsubj
ran 0-ROOT
from 18-prep
the 21-det
market 19-pobj
en 18-prep
masse 22-pobj
. 18-punct

 24-dep

Now 5-advmod
the 3-det
firms 5-nsubj
must 5-aux
try 0-ROOT
their 7-poss
hardest 5-dobj
to 9-aux
prove 5-advcl
that 13-mark
advertising 13-nsubj
can 13-aux
work 9-ccomp
this 15-det
time 13-npadvmod
around 13-advmod
. 5-punct

 17-dep

Ad 2-compound
Notes 0-ROOT
... 2-punct
. 2-punct

 4-dep

ARNOLD 2-compound
ADVERTISING 19-npadvmod
: 19-punct

 3-dep
Edward 6-compound
Eskandarian 19-nsubj
, 6-punct
former 9-amod
chairman 6-appos
of 9-prep
Della 12-compound
Femina 10-pobj
, 12-punct
McNamee 17-compound
WCRS 17-nmod
/ 17-punct
Boston 12-appos
, 19-punct
reached 0-ROOT
an 21-det
agreement 19-dobj
in 21-prep
principle 22-pobj
to 25-aux
acquire 21-acl
a 28-det
majority 28-compound
stake 25-dobj
in 28-prep
Arnold 31-compound
Advertising 29-pobj
, 21-punct
a 36-det
small 36-amod
Boston 36-compound
shop 21-appos
. 19-punct

 37-dep

Terms 4-nsubjpass
were 4-auxpass
n't 4-neg
disclosed 0-ROOT
. 4-punct

 5-dep

Mr. 2-compound
Eskandarian 13-nsubj
